Init Import Duration,28.180388689041138
Init Perception Planning Duration,9.774890422821045
Init Functions Duration,0.0004291534423828125
Init Post Duration,0.02613663673400879
Total Init Duration,37.98306751251221
Target Object,obj_000070_0
Pick Count,1
Grasp Choice (Seg ID),1
Grasp Choice Duration,4.960191249847412
