Init Import Duration,Init Perception Planning Duration,Init Functions Duration,Init Post Duration,Total Init Duration,Target Object,Pick Count,Grasp Choice (Seg ID),Grasp Choice Duration,Grasp Score,Total Computation Duration,Total Grasp Planning Duration,Total Motion Planning Duration,Object Name,Grasp Success,Grasped,Total Execution Duration,Retract Success,Dropped,Grasp Result,Retrieved Target Object,Grasp Retracted Objects,Accidental Dropped Objects,Grasp Result finished Count,Grasp Result timeout Count,Grasp Result no_valid_grasps_found Count,Grasp Result grasp_choice_failed Count,Grasp Result no_valid_motion_plan_found Count,Grasp Success True Count,Grasp Success False Count,Grasp Retracted Objects Count,Accidental Dropped Objects Count,Scene,Experiment Path,Method,Total Experiment Time,Error
5.682345390319824,26.74412083625793,2.5510787963867188e-05,3.337860107421875e-06,32.42666459083557,yellow mustard bottle.,3.0,"3,3,0","8.434542894363403,9.293970108032228,6.64004111289978","0.3260042369365692,0.6538252830505371,0.6922311782836914","35.052249908447266,41.16204047203064,40.90768671035767","12.71212911605835,15.06256365776062,22.71206569671631","4.127976894378662,3.622482061386109,3.6519367694854736","jello box,black box,yellow mustard bottle","True,True,True","['jello box'],['black box'],['yellow mustard bottle']","36.91092562675476,32.340028524398804,37.71200942993164","True,True,True",,"finished,finished,finished",True,"jello box,black box,yellow mustard bottle",,3,0,0,0,0,3,0,3,0,2,trial_2025-12-04_17-21-05__scene2__vlm_only/2__yellow_mustard_bottle___vlm_only,vlm_only,438.6714606285095,
5.689081430435181,26.970062971115112,2.050399780273437e-05,2.384185791015625e-06,32.65933132171631,yellow mustard bottle.,15.0,"3,2,10,10,1,-1,6,9,6,6,6,0,0,5,-1,2,5,5,4,4,4,2,5,5,5,5,2,5,3,5,2,-1,5,3,2,5,5","47.184415340423584,32.26246500015259,44.99513030052185,44.89116907119751,38.766780376434326,27.62679433822632,32.81389570236206,64.67541360855103,9.921429634094238,4.731598377227783,5.380739450454712,4.896515130996704,6.772434234619141,24.54930067062378,35.38522529602051,22.254512071609497,33.18446707725525,33.321874380111694,49.066739320755005,21.44430613517761,35.915690660476685,32.315592765808105,61.35228490829468,31.79030752182007,30.398897647857662,42.09964799880981,27.668455362319943,23.14383745193481,25.775653839111328,31.664140701293945,31.008994102478027,14.13976764678955,31.118644952774048,20.91669487953186,22.473960638046265,36.20389866828919,19.250301599502563","0.3142560422420501,0.3376917839050293,0.6339275240898132,0.4039142727851867,0.5109377503395081,0.2964403033256531","77.321524143219,130.2615430355072,165.68583035469055,152.2024645805359,26.072418451309204,37.577701807022095","13.200296878814695,11.256482124328612,11.908408164978027,10.796786069869995,11.703287839889526,11.205954551696776","3.94906497001648,76.38506269454956,17.141971349716187,2.4312565326690674,2.771279573440552,13.074203491210938","orange,tomato soup can,window cleaner,jello box,white bleach bottle,white bottle","False,True,True,True,True,True","[],['tomato soup can'],['window cleaner'],['jello box'],['white bleach bottle'],['white bottle']","39.99537897109985,35.631717920303345,37.75298070907593,38.84059429168701,37.69567012786865,33.56431269645691","False,True,True,True,True,True",,"finished,finished,finished,finished,grasp_choice_failed,finished,finished,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed",False,"white bleach bottle,window cleaner,tomato soup can,white bottle,jello box",,6,0,0,9,0,5,1,5,0,2,trial_2025-12-04_17-21-05__scene2__vlm_only/2__exp_2__yellow_mustard_bottle___vlm_only,vlm_only,2236.057862520218,"MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION"
5.639256715774536,27.49038910865784,2.9325485229492188e-05,3.576278686523437e-06,33.12983536720276,yellow mustard bottle.,3.0,"5,3,-1,0","13.33352541923523,14.77278971672058,9.672403335571287,4.730995416641235","0.3520832061767578,0.7125505805015564,0.6314376592636108","47.69008135795593,41.96181201934815,40.63096880912781","20.54170608520508,14.749616146087646,15.441832780838013","3.9316694736480713,4.068673372268677,3.293200254440308","jello box,black box,yellow mustard bottle","True,True,True","['jello box'],['black box'],['yellow mustard bottle']","42.45683979988098,38.582144260406494,45.09836935997009","True,True,True",,"finished,finished,finished",True,"jello box,black box,yellow mustard bottle",,3,0,0,0,0,3,0,3,0,2,trial_2025-12-04_16-52-58__scene2__human/2__exp_3__yellow_mustard_bottle___human,human,434.7277083396912,
5.710667371749878,27.00107860565185,3.2901763916015625e-05,3.576278686523437e-06,32.71195888519287,yellow mustard bottle.,3.0,"5,3,0","8.988117933273315,4.813355922698975,11.731101274490356","0.467330664396286,0.7508882880210876,0.5902872085571289","35.74233341217041,43.75346088409424,37.91022539138794","12.352567911148071,21.065123081207275,14.854165315628052","4.439210891723633,3.8289055824279785,3.4108831882476807","jello box,black box,yellow mustard bottle","True,True,True","['jello box'],['black box'],['yellow mustard bottle']","38.69871783256531,53.38774871826172,38.25178647041321","True,True,True",,"finished,finished,finished",True,"jello box,black box,yellow mustard bottle",,3,0,0,0,0,3,0,3,0,2,trial_2025-12-04_16-52-58__scene2__human/2__exp_2__yellow_mustard_bottle___human,human,424.6185059547424,
5.720144033432007,26.61528468132019,3.314018249511719e-05,4.529953002929688e-06,32.33561897277832,yellow mustard bottle.,4.0,"5,4,0,0","5.461563348770142,18.11031556129456,5.982612133026123,3.579697370529175","0.4203523099422455,0.6820406317710876,0.6652811765670776,0.4791187345981598","31.891430139541622,54.58493757247925,39.46046209335327,34.78779363632202","13.511703729629517,22.30236506462097,20.97391939163208,21.235580921173096","4.425534963607788,4.240209341049194,4.33987021446228,3.2835049629211426","jello box,black box,yellow mustard bottle,yellow mustard bottle","True,True,False,True","['jello box'],['black box'],[],['yellow mustard bottle']","40.30388617515564,36.311259031295776,46.4333860874176,36.68529415130615","True,True,False,True",,"finished,finished,finished,finished",True,"jello box,black box,yellow mustard bottle",,4,0,0,0,0,3,1,3,0,2,trial_2025-12-04_16-52-58__scene2__human/2__yellow_mustard_bottle___human,human,559.1418700218201,
"5.700984239578247,5.585747241973877,5.642348766326904","26.71204423904419,26.93642783164978,26.550880193710327","3.814697265625e-05,3.0994415283203125e-05,2.3365020751953125e-05","2.6226043701171875e-06,2.6226043701171875e-06,3.0994415283203125e-06","32.413246870040894,32.52239465713501,32.193442821502686","blue box.,blue box.,blue box.",3.0,"-1,-1,-1,-1,-1,-1,-1,-1,-1,9,1,0","0.1695361137390136,0.2146422863006591,0.1951978206634521,0.1669788360595703,0.2568039894104004,0.2310926914215088,0.184868574142456,0.199209451675415,0.2036275863647461,21.541523456573486,26.522034645080566,8.302754878997803","0.3661571145057678,0.6791835427284241,0.7602024674415588","50.78533101081848,49.17640423774719,30.66818356513977","14.63755464553833,10.793319463729858,10.645314455032349","3.791144609451294,3.516388416290283,2.7248456478118896","window cleaner,yellow mustard,blue box","True,True,True","['window cleaner'],['yellow mustard'],['blue box']","42.84704089164734,45.00518178939819,36.28920650482178","True,True,True",,"grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,finished,finished,finished",True,"yellow mustard,window cleaner,blue box",,3,0,0,3,0,3,0,3,0,1,trial_manual__real_trials__vlm_only/real_vlm_only_new_scene1_exp1,vlm_only,0.0,
5.639926671981812,25.74139714241028,1.9550323486328125e-05,2.1457672119140625e-06,31.38149189949036,blue box.,8.0,"3.0,3.0,2.0,3.0,0.0,2.0,4.0,3.0,3.0,1.0,2.0,0.0","23.098548412323,26.046042442321777,47.58671832084656,25.426311016082764,5.328328847885132,39.461589097976685,14.053427457809448,36.71951246261597,26.41090202331543,30.939327239990234,28.245728015899655,6.189975023269653","0.7271255850791931,0.6402322053909302,0.5405039191246033,0.2339610755443573,0.2735277116298675,0.622098445892334,0.4957410097122192,0.8003699779510498","58.37880635261536,50.15192151069641,92.68799376487732,23.35300898551941,110.37620186805724,109.5260727405548,56.11309814453125,16.738141298294067","17.845451831817627,12.624130487442017,8.479762315750122,7.892278432846069,4.32507586479187,2.970327377319336,3.4110472202301025,3.5075488090515137","4.986804485321045,3.8574259281158447,3.0769243240356445,2.979337453842163,44.22005772590637,2.125157356262207,16.788716316223145,0.8728733062744141","yellow mustard,tomato soup can,yellow sugar box,index cards,white water bottle,window cleaner,window cleaner,blue box","True,True,True,True,True,False,True,True","['yellow mustard'],['tomato soup can'],['yellow sugar box'],['index cards'],['white water bottle'],[],['window cleaner'],['blue box']","55.48839783668518,35.78919434547424,74.70132231712341,68.43074941635132,52.79186105728149,52.26740884780884,43.14574646949768,46.75026249885559","True,True,False,True,True,False,True,True",yellow sugar box,"finished,finished,finished,finished,finished,finished,finished,finished",True,"window cleaner,white water bottle,tomato soup can,index cards,yellow mustard,blue box",yellow sugar box,8,0,0,0,0,7,1,6,1,1,trial_manual__real_trials__vlm_only/real_vlm_only_new_scene1_exp3,vlm_only,0.0,"MotionGenStatus.TRAJOPT_FAIL,MotionGenStatus.TRAJOPT_FAIL,MotionGenStatus.TRAJOPT_FAIL,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION"
5.614622354507446,26.9209246635437,2.956390380859375e-05,2.384185791015625e-06,32.5357551574707,blue box.,5.0,"2,4,2,1,1,1,2,0","22.520546197891235,18.95848274230957,14.96377158164978,24.74501061439514,36.91731095314026,20.825236558914185,27.19227695465088,6.953412771224976","0.6846155524253845,0.4654234647750854,0.4978399872779846,0.5276471972465515,0.7289036512374878","48.75090932846069,46.45942187309265,63.914565324783325,104.05221605300903,27.19714379310608","12.992547512054443,11.06352424621582,10.82056999206543,8.981863737106323,9.962261438369753","3.7823541164398193,4.952015161514282,5.130781173706055,3.026090621948242,1.9099054336547847","yellow mustard,tomato soup can,window cleaner,window cleaner,blue box","True,True,True,True,True","['yellow mustard'],['tomato soup can'],['window cleaner'],['window cleaner'],['blue box']","45.79359793663025,43.4294331073761,41.44521713256836,45.57962274551392,37.28243327140808","True,True,False,True,True",,"finished,finished,finished,finished,finished",True,"yellow mustard,window cleaner,tomato soup can,blue box",,5,0,0,0,0,5,0,4,0,1,trial_manual__real_trials__vlm_only/real_vlm_only_new_scene1_exp2,vlm_only,0.0,"MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION"
5.784717559814453,26.860579013824463,2.408027648925781e-05,2.384185791015625e-06,32.64548349380493,blue box.,6.0,"2.0,0.0,4.0,0.0,0.0,0.0","38.63753271102905,5.367593765258789,5.255445241928101,5.864684581756592,5.147515773773193,7.431383371353149","0.5280851721763611,0.6310884356498718,0.5686586499214172,0.2148536890745163,0.4584384858608246,0.8223188519477844","68.31648302078247,43.9196035861969,26.759291410446167,21.3518283367157,44.189512729644775,20.050922393798828","11.012439012527466,9.061970710754396,11.582112789154053,6.859734058380127,5.568880081176758,4.824984788894653","3.700719356536865,20.628106832504272,2.8571176528930664,2.1259021759033203,26.64260315895081,1.03529691696167","tomato soup can,yellow sugar box,yellow mustard,index cards,window cleaner,blue box","True,True,True,False,True,True","['tomato soup can'],['yellow sugar box'],['yellow mustard'],[],['window cleaner'],['blue box']","36.8163583278656,40.69944405555725,352.7821726799011,86.99619674682617,36.04638910293579,34.34262418746948","True,True,True,False,True,True",,"finished,finished,finished,finished,finished,finished",True,"window cleaner,tomato soup can,yellow mustard,blue box,yellow sugar box",,6,0,0,0,0,5,1,5,0,1,trial_2025-12-04_14-17-37__real_trials__dg_into_vlm/1__blue_box___dg_into_vlm,dg_into_vlm,1210.1550869941711,"MotionGenStatus.IK_FAIL,MotionGenStatus.IK_FAIL,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION"
5.569792032241821,26.80320954322815,1.883506774902344e-05,2.86102294921875e-06,32.373186349868774,blue box.,4.0,"3,1,2,0","20.41223454475403,15.35367727279663,32.63761234283447,6.919545412063599","0.5988043546676636,0.5674755573272705,0.5716721415519714,0.5962585210800171","50.986828088760376,42.30945348739624,50.651188135147095,26.36926960945129","12.195743322372437,13.360122680664062,7.883600234985352,10.219624042510986","10.69899868965149,6.728644847869873,2.8957841396331787,2.2265567779541016","tomato soup can,yellow mustard,window cleaner,blue box","True,True,True,True","['tomato soup can'],['yellow mustard'],['window cleaner'],['blue box']","35.36548185348511,37.68892478942871,35.62915778160095,43.03516006469727","True,True,True,True",,"finished,finished,finished,finished",True,"yellow mustard,window cleaner,tomato soup can,blue box",,4,0,0,0,0,4,0,4,0,1,trial_2025-12-04_14-17-37__real_trials__dg_into_vlm/1__exp_3__blue_box___dg_into_vlm,dg_into_vlm,825.1912145614624,"MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION,MotionGenStatus.INVALID_START_STATE_WORLD_COLLISION"
