Init Import Duration,15.250574350357056
Init Perception Planning Duration,13.023112773895264
Init Functions Duration,0.0003407001495361328
Init Post Duration,0.039397478103637695
Total Init Duration,28.3156521320343
Target Object,obj_000070_0
Pick Count,1
Grasp Choice (Seg ID),1
Grasp Choice Duration,9.03092074394226
