Init Import Duration,16.4872465133667
Init Perception Planning Duration,12.26574420928955
Init Functions Duration,0.0005381107330322266
Init Post Duration,0.11096692085266113
Total Init Duration,28.871097087860107
Target Object,obj_000070_0
Pick Count,1
Grasp Choice (Seg ID),1
Grasp Choice Duration,8.482781171798706
Unhandled Error,"Traceback (most recent call last):
  File ""/mnt/ssd/ziyaochen/torc_franka_lift3d_pipeline_v2/original_torc/lab_vbnpm/./scripts/task_planner/curobo_control.py"", line 1265, in run
    result = open_loop_pick_or_place(
             ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/mnt/ssd/ziyaochen/torc_franka_lift3d_pipeline_v2/original_torc/lab_vbnpm/scripts/task_planner/curobo_open_loop.py"", line 968, in open_loop_pick_or_place
    lift_goal = copy.deepcopy(grasp[ind])
                ^^^^
NameError: name 'copy' is not defined. Did you forget to import 'copy'
"
