Init Import Duration,Init Perception Planning Duration,Init Functions Duration,Init Post Duration,Total Init Duration,Target Object,Pick Count,Grasp Choice (Seg ID),Grasp Choice Duration,Grasp Score,Total Computation Duration,Total Grasp Planning Duration,Total Motion Planning Duration,Object Name,Grasp Success,Grasped,Total Execution Duration,Retract Success,Dropped,Grasp Result,Retrieved Target Object,Grasp Retracted Objects,Accidental Dropped Objects,Grasp Result finished Count,Grasp Result timeout Count,Grasp Result no_valid_grasps_found Count,Grasp Result grasp_choice_failed Count,Grasp Result no_valid_motion_plan_found Count,Grasp Success True Count,Grasp Success False Count,Grasp Retracted Objects Count,Accidental Dropped Objects Count,Scene,Experiment Path,Method,Total Experiment Time,Error,Dropped Target Object
0.0595114231109619,1.4078471660614014,0.000117540359497,0.037184715270996,1.5050992965698242,obj_000082_0,5.0,"6,5,5,8,0","0.4601001739501953,0.3782615661621094,0.3892810344696045,0.4498240947723388,0.380894660949707","0.4507157504558563,0.3414363265037536,0.515245795249939,0.5746553540229797,0.2688856720924377","29.769961833953857,24.279403924942017,29.836227893829346,27.74119997024536,17.12020444869995","20.18628430366516,15.55931520462036,19.94342684745789,15.764929056167604,10.781252145767212","4.702934741973877,3.9950976371765137,5.439960718154907,7.640499591827393,2.253325700759888","obj_000044_0,obj_000048_0,obj_000048_0,obj_000129_0,obj_000082_0","True,False,True,False,False","['obj_000044_0'],[],['obj_000048_0'],[],[]","25.85767817497253,79.54343032836914,24.527894973754883,38.53744673728943,50.10348105430603","True,False,True,True,True","obj_000115_0,obj_000048_0,obj_000096_0,obj_000044_0,obj_000129_0","finished,finished,finished,finished,finished",True,"obj_000048_0,obj_000044_0","obj_000096_0,obj_000115_0,obj_000129_0",5,0,0,0,0,2,3,2,3,structured_567,trial_2025-11-30_15-44-59__structured__all_auto/567__obj_000082_0__random,random,416.7709176540375,,
0.1201753616333007,0.8262653350830078,0.0002210140228271,0.0171656608581542,0.9647719860076904,obj_000006_0,3.0,"4.0,4.0,0.0","30.475801706314087,40.57618832588196,33.38893175125122","0.7920372486114502,0.3343969285488128,0.4278792142868042","57.22737908363342,59.39084267616272,53.08291435241699","18.00378727912903,12.075393199920654,13.22406268119812","4.504207372665405,2.960936546325684,2.866685152053833","obj_000078_0,obj_000050_0,obj_000006_0","True,True,True","['obj_000078_0'],['obj_000050_0'],['obj_000006_0']","49.169074296951294,37.222537994384766,47.48859167098999","True,True,True","obj_000050_0,obj_000058_0,obj_000035_0,obj_000078_0","finished,finished,finished",True,"obj_000050_0,obj_000006_0,obj_000078_0","obj_000058_0,obj_000035_0",3,0,0,0,0,3,0,3,2,structured_233,trial_2025-11-30_15-44-59__structured__all_auto/233__obj_000006_0__vlm_dg,vlm_dg,349.6603031158447,,
0.0839998722076416,2.414421558380127,0.0001454353332519,0.03658127784729,2.535887718200684,obj_000025_2,5.0,"3,3,0,1,1","32.43614482879639,62.43799424171448,6.009360313415527,23.227563619613647,16.50429606437683","0.5748744606971741,0.8240092396736145,0.4802386462688446,0.5921845436096191","105.8155119419098,125.92022466659546,53.19245624542236,64.32626223564148","56.80863857269287,46.90980815887451,34.85476803779602,34.412867307662964","8.286535501480103,9.064244747161863,6.832485675811768,8.215141534805298","obj_000048_1,obj_000061_0,obj_000025_2,obj_000010_0","True,True,True,True","['obj_000048_1'],['obj_000061_0'],['obj_000025_2'],['obj_000010_0']","22.45234966278076,19.726593732833862,18.944125175476078,17.883095264434814","True,True,False,True","obj_000073_0,obj_000061_0,obj_000025_2,obj_000048_1,obj_000036_0","finished,finished,finished,no_valid_motion_plan_found,finished",,"obj_000048_1,obj_000061_0,obj_000010_0","obj_000073_0,obj_000025_2,obj_000036_0",4,0,0,0,1,4,0,3,3,structured_241,trial_2025-11-30_15-44-59__structured__all_auto/241__obj_000025_2__dg_into_vlm,dg_into_vlm,622.8965981006622,"MotionGenStatus.TRAJOPT_FAIL,MotionGenStatus.TRAJOPT_FAIL,MotionGenStatus.TRAJOPT_FAIL,MotionGenStatus.TRAJOPT_FAIL",True
0.0661952495574951,0.782534122467041,0.0001468658447265,0.0692324638366699,0.9188597202301024,obj_000045_0,5.0,"5,4,1,3,3,3,3,0","24.42974853515625,9.29133439064026,11.874627828598022,14.897218465805054,26.8407518863678,8.701021909713745,14.14849305152893,8.212528228759766","0.8072428703308105,0.3773824572563171,0.3870433866977691,0.5071423053741455","51.637099266052246,27.838297605514526,34.61826825141907,44.41938138008118","18.76757287979126,12.570817470550535,16.14608144760132,16.09697937965393","4.386395692825317,2.6393139362335205,3.4228639602661133,2.877516746520996","obj_000078_0,obj_000050_0,obj_000006_0,obj_000045_0","True,True,True,True","['obj_000078_0'],['obj_000050_0'],['obj_000006_0'],['obj_000045_0']","39.24105215072632,35.9362530708313,31.470557928085327,27.4571635723114","True,True,True,True","obj_000050_0,obj_000035_0,obj_000078_0,obj_000058_0,obj_000006_0","finished,finished,finished,grasp_choice_failed,finished",True,"obj_000050_0,obj_000006_0,obj_000045_0,obj_000078_0","obj_000058_0,obj_000035_0",4,0,0,1,0,4,0,4,2,structured_233,trial_2025-11-30_15-44-59__structured__all_auto/233__obj_000045_0__dg_into_vlm,dg_into_vlm,412.31127071380615,,
0.0380864143371582,2.4881715774536133,0.0001804828643798,0.0998797416687011,2.6268200874328613,obj_000005_0,4.0,"10,10,10,0","47.157203912734985,37.8057656288147,74.0602650642395,44.1319580078125","0.772195041179657,0.4828996360301971,0.4754350781440735,0.1871150881052017","94.96466970443726,65.12441611289978,95.8082218170166,61.60499858856201","37.71806740760803,19.411604404449463,15.26299214363098,10.86552357673645","5.694320917129517,4.192185640335083,3.1751062870025635,3.511826038360596","obj_000078_0,obj_000074_0,obj_000027_0,obj_000005_0","True,True,True,True","['obj_000078_0'],['obj_000074_0'],['obj_000027_0'],['obj_000005_0']","27.13365936279297,25.198798179626465,31.13834381103516,21.888869524002075","True,True,True,True","obj_000074_0,obj_000027_0,obj_000078_0","finished,finished,finished,finished",True,"obj_000074_0,obj_000005_0,obj_000027_0,obj_000078_0",,4,0,0,0,0,4,0,4,0,structured_198,trial_2025-11-30_15-44-59__structured__all_auto/198__obj_000005_0__vlm_dg,vlm_dg,466.3044948577881,,
0.0533020496368408,0.8109209537506104,0.0001754760742187,0.0267102718353271,0.8915872573852539,obj_000045_0,2.0,"5.0,0.0","24.05231785774231,40.10582613945007","0.7948701977729797,0.3728362023830414","52.6561770439148,58.139991998672485","19.441644191741943,11.523664712905884","4.934561491012573,2.8378467559814453","obj_000078_0,obj_000045_0","True,True","['obj_000078_0'],['obj_000045_0']","52.75525617599487,33.4191153049469","True,True","obj_000058_0,obj_000035_0,obj_000078_0","finished,finished",True,"obj_000045_0,obj_000078_0","obj_000058_0,obj_000035_0",2,0,0,0,0,2,0,2,2,structured_233,trial_2025-11-30_15-44-59__structured__all_auto/233__obj_000045_0__vlm_dg,vlm_dg,235.0629270076752,,
0.0530955791473388,2.514447927474976,0.0001435279846191,0.0363709926605224,2.6044797897338867,obj_000168_0,3.0,"3.0,7.0,0.0","20.4281702041626,15.822081565856934,13.366320610046388","0.4533189833164215,0.5752819776535034,0.2867850661277771","47.83709931373596,41.17450165748596,34.07203507423401","14.78229522705078,16.14918875694275,11.406028509140016","7.286220550537109,4.9110634326934814,4.943256616592407","obj_000152_0,obj_000166_0,obj_000168_0","False,True,False","[],['obj_000166_0'],[]","19.981770753860477,15.885922193527222,14.306929588317873","True,False,True","obj_000164_0,obj_000072_0,obj_000152_0,obj_000166_0","finished,finished,finished",True,,"obj_000164_0,obj_000072_0,obj_000152_0,obj_000166_0",3,0,0,0,0,1,2,0,4,structured_828,trial_2025-11-30_15-44-59__structured__all_auto/828__obj_000168_0__dg_only,dg_only,210.2761921882629,,
0.0418541431427001,2.4215898513793945,0.0001270771026611,0.0263981819152832,2.4904139041900635,obj_000048_0,1.0,0,18.903514862060547,0.1964297294616699,50.47499656677246,22.087449550628666,5.250856637954712,obj_000048_0,True,['obj_000048_0'],26.52626276016236,True,obj_000096_0,finished,True,obj_000048_0,obj_000096_0,1,0,0,0,0,1,0,1,1,structured_567,trial_2025-11-30_15-44-59__structured__all_auto/567__obj_000048_0__dg_only,dg_only,110.77164149284364,,
0.0590982437133789,0.8203885555267334,0.0001490116119384,0.046715497970581,0.9268684387207032,obj_000045_0,3.0,"9,6,4,0","25.898130178451535,24.424566745758057,6.374361276626587,6.86667799949646","0.8517717123031616,0.7237597703933716,0.4581134021282196","84.83352041244507,36.77471113204956,36.2592887878418","24.730859756469727,21.49347972869873,21.205554723739624","5.000790119171143,3.814477443695069,4.034613370895386","obj_000061_1,obj_000055_1,obj_000045_0","True,True,True","['obj_000061_1'],['obj_000055_1'],['obj_000045_0']","48.38996076583862,40.14563250541687,41.47440791130066","True,True,True","obj_000049_0,obj_000055_1,obj_000061_1,obj_000050_1","finished,finished,finished",True,"obj_000055_1,obj_000045_0,obj_000061_1","obj_000049_0,obj_000050_1",3,0,0,0,0,3,0,3,2,structured_223,trial_2025-11-30_15-44-59__structured__all_auto/223__obj_000045_0__vlm_only,vlm_only,331.2828104496002,,
0.0524420738220214,1.7455339431762695,0.0002644062042236,0.0495128631591796,1.848150968551636,obj_000025_2,15.0,"1,5,3,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,7,4,4,4,4,4,4,3,9,9,9,9,3,9","22.878557682037357,21.304036378860477,24.86920118331909,37.26245141029358,38.52046990394592,20.26563763618469,26.492505311965942,33.8087375164032,35.73577928543091,17.981827974319458,24.953402519226078,31.63879537582397,31.0965838432312,14.594622373580933,24.984126091003414,49.48039245605469,21.323617696762085,13.3010733127594,27.839529514312744,26.57764482498169,26.81848168373108,20.672723293304443,29.00599217414856,46.4780170917511,23.440274477005005,20.2680082321167,26.95480513572693,19.083584785461422,28.76319718360901,53.88673186302185,26.39413833618164,42.65590000152588,31.79271101951599,24.00184154510498,8.629263639450073,5.223066568374634,15.171273946762083,6.656388282775879,12.193970918655396,5.009214162826538","0.3858254551887512,0.3508280217647552,0.8284448385238647","84.71115493774414,94.3335907459259,115.79966807365416","40.6109094619751,35.09187865257263,40.84634804725647","12.367135763168337,7.139349937438965,45.10320162773132","obj_000010_0,obj_000048_1,obj_000061_0","True,True,True","['obj_000010_0'],['obj_000048_1'],['obj_000061_0']","32.3540563583374,23.490642547607425,21.786221265792847","True,True,True","obj_000073_0,obj_000036_0,obj_000048_1,obj_000010_0","finished,finished,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,grasp_choice_failed,finished,grasp_choice_failed,grasp_choice_failed",False,"obj_000048_1,obj_000061_0,obj_000010_0","obj_000073_0,obj_000036_0",3,0,0,12,0,3,0,3,2,structured_241,trial_2025-11-30_15-44-59__structured__all_auto/241__obj_000025_2__vlm_only,vlm_only,1875.468395709992,"MotionGenStatus.TRAJOPT_FAIL,MotionGenStatus.TRAJOPT_FAIL",
