Init Import Duration,14.888118743896484
Init Perception Planning Duration,13.043690919876099
Init Functions Duration,0.0005238056182861328
Init Post Duration,0.045351505279541016
Total Init Duration,27.979003190994263
Target Object,obj_000070_0
Pick Count,1
Grasp Choice (Seg ID),1
Grasp Choice Duration,7.866564035415649
